M,N,p,k,mu,f,speed,demand,facility,ti_c,model,ti_s,status,ObjValue,Gap
50,10,5,5,72,0.006,40,Goldberg_Test_50_10_demand.ins,Goldberg_Test_50_10_facility.ins,0,Goldberg-model_50_10_5.lp,0.181382,Optimal,50102.6,0
50,10,5,5,72,0.006,40,Goldberg_Test_50_10_demand.ins,Goldberg_Test_50_10_facility.ins,0,Goldberg-model_50_10_5.lp,0.179007,Optimal,50102.6,-1.45221e-16
50,10,5,5,72,0.006,40,Goldberg_Test_50_10_demand.ins,Goldberg_Test_50_10_facility.ins,0,Goldberg-model_50_10_5.lp,0.178816,Optimal,50102.6,-1.45221e-16
50,20,5,5,72,0.006,40,Goldberg_Test_50_20_demand.ins,Goldberg_Test_50_20_facility.ins,0,Goldberg-model_50_20_5.lp,0.718847,Optimal,37800.6,0
50,20,6,6,72,0.006,40,Goldberg_Test_50_20_demand.ins,Goldberg_Test_50_20_facility.ins,0,Goldberg-model_50_20_6.lp,0.755273,Optimal,32492.8,0
50,20,7,7,72,0.006,40,Goldberg_Test_50_20_demand.ins,Goldberg_Test_50_20_facility.ins,0,Goldberg-model_50_20_7.lp,0.839617,Optimal,28562.3,-1.2737e-16
50,20,8,8,72,0.006,40,Goldberg_Test_50_20_demand.ins,Goldberg_Test_50_20_facility.ins,0,Goldberg-model_50_20_8.lp,0.871328,Optimal,26226.3,-2.7743e-16
50,20,9,9,72,0.006,40,Goldberg_Test_50_20_demand.ins,Goldberg_Test_50_20_facility.ins,0,Goldberg-model_50_20_9.lp,0.986522,Optimal,24492.3,0
50,20,10,10,72,0.006,40,Goldberg_Test_50_20_demand.ins,Goldberg_Test_50_20_facility.ins,0,Goldberg-model_50_20_10.lp,0.968446,Optimal,23029.8,0
50,30,5,5,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_5.lp,1.19795,Optimal,50719.3,0
50,30,6,6,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_6.lp,2.48784,Optimal,43201.6,0
50,30,7,7,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_7.lp,3.18058,Optimal,37608.8,0
50,30,8,8,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_8.lp,2.37385,Optimal,33448.1,0
50,30,9,9,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_9.lp,4.02154,Optimal,30520,0
50,30,10,10,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_10.lp,3.07245,Optimal,28223.8,0
50,30,11,11,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_11.lp,3.22644,Optimal,26606.3,0
50,30,12,12,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_12.lp,2.95218,Optimal,25275.4,0
50,30,13,13,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_13.lp,3.62849,Optimal,24379.8,0
50,30,14,14,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_14.lp,3.91683,Optimal,23701.1,0
50,30,15,15,72,0.006,40,Goldberg_Test_50_30_demand.ins,Goldberg_Test_50_30_facility.ins,0,Goldberg-model_50_30_15.lp,3.65008,Optimal,23170.8,-3.14015e-16
50,40,5,5,72,0.006,40,Goldberg_Test_50_40_demand.ins,Goldberg_Test_50_40_facility.ins,0,Goldberg-model_50_40_5.lp,2.36128,Optimal,40397.5,0
50,40,6,6,72,0.006,40,Goldberg_Test_50_40_demand.ins,Goldberg_Test_50_40_facility.ins,0,Goldberg-model_50_40_6.lp,4.25155,Optimal,33562.2,0
50,40,7,7,72,0.006,40,Goldberg_Test_50_40_demand.ins,Goldberg_Test_50_40_facility.ins,0,Goldberg-model_50_40_7.lp,6.94123,Optimal,28802.2,-2.52618e-16
50,40,8,8,72,0.006,40,Goldberg_Test_50_40_demand.ins,Goldberg_Test_50_40_facility.ins,0,Goldberg-model_50_40_8.lp,3.4847,Optimal,25194.1,-1.44398e-16
